2026-03-10 07:09:15 | pipeline | INFO | ============================================================
2026-03-10 07:09:15 | pipeline | INFO | DeepTrust — Statistical Attack Pipeline
2026-03-10 07:09:15 | pipeline | INFO | Attack Type : JPEG
2026-03-10 07:09:15 | pipeline | INFO | Input Dir   : ./input
2026-03-10 07:09:15 | pipeline | INFO | Output Dir  : ./output/jpeg_compression
2026-03-10 07:09:15 | pipeline | INFO | Start Time  : 2026-03-10 07:09:15
2026-03-10 07:09:15 | pipeline | INFO | ============================================================
2026-03-10 07:10:34 | pipeline | INFO | ============================================================
2026-03-10 07:10:34 | pipeline | INFO | DeepTrust — Statistical Attack Pipeline
2026-03-10 07:10:34 | pipeline | INFO | Attack Type : JPEG
2026-03-10 07:10:34 | pipeline | INFO | Input Dir   : ./input
2026-03-10 07:10:34 | pipeline | INFO | Output Dir  : ./output/jpeg_compression
2026-03-10 07:10:34 | pipeline | INFO | Start Time  : 2026-03-10 07:10:34
2026-03-10 07:10:34 | pipeline | INFO | ============================================================
2026-03-10 07:10:34 | pipeline | INFO | Found 1576 video files in ./input
2026-03-10 07:10:34 | pipeline | INFO | Dataset Split enabled: processing chunk of 394 videos for jpeg
2026-03-10 07:10:34 | pipeline | INFO | Limit applied: processing only first 4 videos
2026-03-10 07:10:34 | pipeline | INFO | Videos to process: 4
2026-03-10 07:10:39 | jpeg_attack | INFO | JPEG attack complete: 212 frames attacked, 0 failed
2026-03-10 07:10:46 | jpeg_attack | INFO | JPEG attack complete: 212 frames attacked, 0 failed
2026-03-10 07:10:50 | jpeg_attack | INFO | JPEG attack complete: 107 frames attacked, 0 failed
2026-03-10 07:10:53 | jpeg_attack | INFO | JPEG attack complete: 107 frames attacked, 0 failed
2026-03-10 07:10:54 | pipeline | INFO | ============================================================
2026-03-10 07:10:54 | pipeline | INFO | Pipeline complete for: JPEG
2026-03-10 07:10:54 | pipeline | INFO |   Successfully processed : 4
2026-03-10 07:10:54 | pipeline | INFO |   Failed                 : 0
2026-03-10 07:10:54 | pipeline | INFO |   End Time               : 2026-03-10 07:10:54
2026-03-10 07:10:54 | pipeline | INFO | ============================================================
2026-03-10 07:12:17 | pipeline | INFO | ============================================================
2026-03-10 07:12:17 | pipeline | INFO | DeepTrust — Statistical Attack Pipeline
2026-03-10 07:12:17 | pipeline | INFO | Attack Type : JPEG
2026-03-10 07:12:17 | pipeline | INFO | Input Dir   : ./input
2026-03-10 07:12:17 | pipeline | INFO | Output Dir  : ./output/jpeg_compression
2026-03-10 07:12:17 | pipeline | INFO | Start Time  : 2026-03-10 07:12:17
2026-03-10 07:12:17 | pipeline | INFO | ============================================================
2026-03-10 07:12:17 | pipeline | INFO | Found 1576 video files in ./input
2026-03-10 07:12:17 | pipeline | INFO | Resuming: skipping 4 already-completed videos
2026-03-10 07:12:17 | pipeline | INFO | Dataset Split enabled: processing chunk of 393 videos for jpeg
2026-03-10 07:12:17 | pipeline | INFO | Videos to process: 393
2026-03-10 07:12:24 | jpeg_attack | INFO | JPEG attack complete: 297 frames attacked, 0 failed
2026-03-10 07:12:34 | jpeg_attack | INFO | JPEG attack complete: 297 frames attacked, 0 failed
2026-03-10 07:12:39 | jpeg_attack | INFO | JPEG attack complete: 104 frames attacked, 0 failed
2026-03-10 07:12:42 | jpeg_attack | INFO | JPEG attack complete: 104 frames attacked, 0 failed
2026-03-10 07:12:45 | jpeg_attack | INFO | JPEG attack complete: 104 frames attacked, 0 failed
2026-03-10 07:12:48 | jpeg_attack | INFO | JPEG attack complete: 104 frames attacked, 0 failed
2026-03-10 07:12:51 | jpeg_attack | INFO | JPEG attack complete: 126 frames attacked, 0 failed
2026-03-10 07:12:55 | jpeg_attack | INFO | JPEG attack complete: 126 frames attacked, 0 failed
2026-03-10 07:12:58 | jpeg_attack | INFO | JPEG attack complete: 148 frames attacked, 0 failed
